셀번호,측정시간,장애여부
YSHS0062,2024-04-18T03:11:46.000+09:00,CRITICAL
YSHS0055,2024-04-18T03:11:46.000+09:00,MAJOR
YSHS0042,2024-04-18T03:38:09.000+09:00,MAJOR
YSHS0017,2024-04-18T03:45:05.000+09:00,CRITICAL
YSHS0024,2024-04-18T03:45:05.000+09:00,CRITICAL
YSHS0062,2024-04-18T04:00:37.000+09:00,CRITICAL
YSHS0025,2024-04-18T04:12:44.000+09:00,CRITICAL
YSHS0055,2024-04-18T04:19:47.000+09:00,CRITICAL
YSHS0074,2024-04-18T04:55:50.000+09:00,CRITICAL
YSHS0054,2024-04-18T04:57:26.000+09:00,MAJOR
YSHS0047,2024-04-18T04:57:26.000+09:00,MAJOR
YSHS0046,2024-04-18T05:34:13.000+09:00,CRITICAL
YSHS0070,2024-04-18T05:34:13.000+09:00,CRITICAL
JNJE1211,2024-04-18T06:43:33.000+09:00,MAJOR
JNJE76-1,2024-04-18T09:29:36.000+09:00,MAJOR
JNJE46,2024-04-18T10:14:40.000+09:00,MAJOR
YSJBG6-1F,2024-04-18T10:42:51.000+09:00,MAJOR
YSDG10-1,2024-04-18T11:20:21.000+09:00,CRITICAL
YSJBG6-1F,2024-04-18T11:25:37.000+09:00,MAJOR
JNGJ1-0,2024-04-18T12:03:39.000+09:00,MAJOR
JNNW12,2024-04-18T12:46:59.000+09:00,MAJOR
JNSC2-3,2024-04-18T13:28:16.000+09:00,MAJOR
JNSC2-3,2024-04-18T13:33:54.000+09:00,MAJOR
JNSC2-3,2024-04-18T13:38:14.000+09:00,MAJOR
YSJB5-27,2024-04-18T14:46:33.000+09:00,CRITICAL
YSDGHFC0054,2024-04-18T14:56:51.000+09:00,MAJOR
YSJSC5001,2024-04-18T15:22:14.000+09:00,MAJOR
YSJB5-27,2024-04-18T15:25:46.000+09:00,CRITICAL
JNJE94,2024-04-18T15:28:34.000+09:00,MAJOR
JNJE4,2024-04-18T17:58:18.000+09:00,MAJOR
JNJE1275,2024-04-19T02:19:00.000+09:00,CRITICAL
JNGC1002,2024-04-19T02:39:34.000+09:00,MAJOR
JNGC1002,2024-04-19T07:04:05.000+09:00,MAJOR
JNGC1002,2024-04-19T07:37:07.000+09:00,MAJOR
JNSC2-3,2024-04-19T09:47:31.000+09:00,MAJOR
JNBA32,2024-04-19T10:22:17.000+09:00,MAJOR
JNNW16,2024-04-19T10:32:36.000+09:00,MAJOR
JNNW16-1,2024-04-19T10:32:36.000+09:00,MAJOR
JNSC2-3,2024-04-19T10:42:43.000+09:00,MAJOR
JNSC2-3,2024-04-19T11:29:27.000+09:00,MAJOR
JNGC0047,2024-04-19T11:48:35.000+09:00,MAJOR
JNNW317,2024-04-19T13:01:43.000+09:00,CRITICAL
JNSC2-3,2024-04-19T13:23:54.000+09:00,MAJOR
JNSC2-3,2024-04-19T13:28:16.000+09:00,MAJOR
JNNW317,2024-04-19T13:33:51.000+09:00,CRITICAL
YSWS5-30,2024-04-19T14:02:33.000+09:00,CRITICAL
JNNW317,2024-04-19T14:41:03.000+09:00,MAJOR
JNGC0047,2024-04-19T14:58:44.000+09:00,MAJOR
JNJE77-2,2024-04-20T09:46:59.000+09:00,MAJOR
YSYW0025,2024-04-20T10:09:08.000+09:00,MAJOR
YSWS0296,2024-04-20T10:46:34.000+09:00,MAJOR
JNGC1002,2024-04-20T10:47:00.000+09:00,MAJOR
JNGC1002,2024-04-20T11:05:27.000+09:00,MAJOR
YSJB5-27,2024-04-20T20:59:20.000+09:00,CRITICAL
JNGC1002,2024-04-20T21:18:19.000+09:00,MAJOR
JNGC1002,2024-04-20T21:49:26.000+09:00,MAJOR
JNGC1002,2024-04-20T21:59:49.000+09:00,MAJOR
YSJB5-27,2024-04-20T23:39:22.000+09:00,CRITICAL
JNGC1002,2024-04-21T00:03:52.000+09:00,MAJOR
JNGC1002,2024-04-21T01:04:01.000+09:00,MAJOR
JNGC1002,2024-04-21T01:49:34.000+09:00,MAJOR
JNGC1002,2024-04-21T05:51:26.000+09:00,MAJOR
JNGC1002,2024-04-21T10:09:37.000+09:00,MAJOR
JNGC1002,2024-04-21T14:40:41.000+09:00,MAJOR
YSWS0156,2024-04-21T14:43:29.000+09:00,MAJOR
YSWS4-2,2024-04-21T16:09:38.000+09:00,MAJOR
YSYW0047,2024-04-21T17:26:01.000+09:00,CRITICAL
JNJE94,2024-04-21T19:37:10.000+09:00,MAJOR
JNGC1002,2024-04-21T22:05:31.000+09:00,MAJOR
JNGC1002,2024-04-22T02:48:30.000+09:00,MAJOR
JNGC1002,2024-04-22T03:36:58.000+09:00,MAJOR
JNGC1002,2024-04-22T07:45:35.000+09:00,MAJOR
JNNW34,2024-04-22T07:54:02.000+09:00,MAJOR
JNNW34,2024-04-22T07:58:23.000+09:00,MAJOR
JNNW34,2024-04-22T08:25:58.000+09:00,MAJOR
JNGC1002,2024-04-22T08:38:31.000+09:00,MAJOR
YSWS1-1,2024-04-22T08:49:33.000+09:00,MAJOR
JNGC1002,2024-04-22T10:06:53.000+09:00,MAJOR
JNSC2-3,2024-04-22T10:12:36.000+09:00,MAJOR
JNGJ145,2024-04-22T10:17:06.000+09:00,MAJOR
JNSC2-3,2024-04-22T10:31:02.000+09:00,MAJOR
JNJE77-2,2024-04-22T10:54:00.000+09:00,MAJOR
JNBA12,2024-04-22T11:52:39.000+09:00,MAJOR
JNNW34,2024-04-22T12:57:14.000+09:00,MAJOR
JNNW34,2024-04-22T13:37:01.000+09:00,MAJOR
JNNW34,2024-04-22T13:44:07.000+09:00,MAJOR
JNNW34,2024-04-22T13:49:53.000+09:00,MAJOR
JNES3,2024-04-22T14:04:00.000+09:00,MAJOR
JNNW34,2024-04-22T16:32:29.000+09:00,MAJOR
JNGC0047,2024-04-22T17:04:32.000+09:00,MAJOR
JNNW34,2024-04-22T17:51:49.000+09:00,MAJOR
YSSB2-15,2024-04-23T02:24:07.000+09:00,CRITICAL
YSSB2-15,2024-04-23T02:37:43.000+09:00,CRITICAL
JNBA3028,2024-04-23T09:06:06.000+09:00,CRITICAL
JNNW16,2024-04-23T09:20:16.000+09:00,MAJOR
JNNW16-1,2024-04-23T09:20:16.000+09:00,MAJOR
JNNW16,2024-04-23T09:23:13.000+09:00,MAJOR
JNNW16-1,2024-04-23T09:23:13.000+09:00,MAJOR
JNSC2-3,2024-04-23T09:39:56.000+09:00,MAJOR
JNNW16,2024-04-23T09:41:35.000+09:00,MAJOR
JNNW16,2024-04-23T09:53:05.000+09:00,MAJOR
JNNW16-1,2024-04-23T09:53:05.000+09:00,MAJOR
JNJE7-1,2024-04-23T10:04:17.000+09:00,MAJOR
JNGJ34,2024-04-23T10:08:52.000+09:00,MAJOR
YSJBF3-2,2024-04-23T10:12:06.000+09:00,MAJOR
YSHS0083,2024-04-23T10:12:06.000+09:00,MAJOR
JNGJ34,2024-04-23T10:30:30.000+09:00,MAJOR
JNJE15,2024-04-23T10:34:50.000+09:00,MAJOR
JNJE15-1,2024-04-23T10:34:50.000+09:00,MAJOR
JNGJ34,2024-04-23T10:36:43.000+09:00,MAJOR
JNGJ34,2024-04-23T10:39:21.000+09:00,MAJOR
YSWS0278,2024-04-23T11:19:45.000+09:00,MAJOR
JNBA12,2024-04-23T11:24:36.000+09:00,MAJOR
JNBA12,2024-04-23T14:01:55.000+09:00,MAJOR
YSHS0069-1,2024-04-23T14:02:23.000+09:00,CRITICAL
YSJSC2003-1,2024-04-23T14:21:12.000+09:00,MAJOR
YSRGC1005,2024-04-23T14:24:28.000+09:00,CRITICAL
YSWS0265,2024-04-23T15:14:38.000+09:00,MAJOR
JNNW27,2024-04-23T16:47:18.000+09:00,MAJOR
YSJB1-9,2024-04-23T19:19:21.000+09:00,MAJOR
YSWS0217-2,2024-04-23T20:24:53.000+09:00,CRITICAL
YSJSC3010,2024-04-24T04:38:20.000+09:00,CRITICAL
JNNW34,2024-04-24T06:18:00.000+09:00,MAJOR
JNBA2001,2024-04-24T06:44:56.000+09:00,MAJOR
YSWS6-2,2024-04-24T06:51:51.000+09:00,MAJOR
JNJE77-2,2024-04-24T07:23:39.000+09:00,MAJOR
YSJSC3010,2024-04-24T07:27:37.000+09:00,CRITICAL
YSWS0087,2024-04-24T10:01:22.000+09:00,MAJOR
JNNW3,2024-04-24T10:02:58.000+09:00,MAJOR
JNJE67,2024-04-24T10:18:39.000+09:00,MAJOR
JNJE67,2024-04-24T13:04:33.000+09:00,MAJOR
YSSRAP1-1,2024-04-24T16:15:39.000+09:00,CRITICAL
YSMYRFOG0038,2024-04-25T10:31:18.000+09:00,MAJOR
JNJE12,2024-04-25T10:42:58.000+09:00,MAJOR
YSJSC4007,2024-04-25T10:44:40.000+09:00,MAJOR
YSJB0075,2024-04-25T10:49:41.000+09:00,CRITICAL
YSJSC4007,2024-04-25T11:40:20.000+09:00,MAJOR
JNGJ6,2024-04-25T15:02:15.000+09:00,MAJOR
JNGC0055,2024-04-25T16:40:06.000+09:00,MAJOR
JNJE77-2,2024-04-25T17:38:55.000+09:00,MAJOR
